SITE,TREATMENT,Plot_type,Average_height,B1,B0,Trees
1,No,EXRD,NA,0,0,0
2,No,EXRD,NA,0,0,0
3,No,EXRD,NA,0,0,0
4,No,EXRD,NA,0,0,0
5,No,EXRD,NA,0,0,0
6,No,EXRD,NA,0,0,0
7,No,EXRD,NA,0,0,0
8,No,EXRD,NA,0,0,0
9,No,EXRD,NA,0,0,0
10,No,EXRD,NA,0,0,0
11,No,EXRD,NA,0,0,0
12,No,EXRD,NA,0,0,0
13,No,EXRD,NA,0,0,0
14,No,EXRD,NA,0,0,0
15,No,EXRD,NA,0,0,0
1,Yes,EXRD,NA,0,0,0
2,Yes,EXRD,NA,0,0,0
3,Yes,EXRD,NA,0,0,0
4,Yes,EXRD,NA,0,0,0
5,Yes,EXRD,NA,0,0,0
6,Yes,EXRD,NA,0,0,0
7,Yes,EXRD,NA,0,0,0
8,Yes,EXRD,NA,0,0,0
9,Yes,EXRD,264,0,4,4
10,Yes,EXRD,NA,0,0,0
11,Yes,EXRD,NA,0,0,0
12,Yes,EXRD,NA,0,0,0
13,Yes,EXRD,NA,0,0,0
14,Yes,EXRD,NA,0,0,0
15,Yes,EXRD,NA,0,0,0
1,No,CAM,NA,0,0,0
2,Yes,CAM,NA,0,0,0
3,No,CAM,NA,0,0,0
4,Yes,CAM,65,6,0,6
5,Yes,CAM,42,0,3,3
6,No,CAM,NA,0,0,0
7,No,CAM,NA,0,0,0
8,Yes,CAM,NA,0,0,0
9,No,CAM,NA,0,0,0
10,Yes,CAM,NA,0,0,0
11,Yes,CAM,NA,0,0,0
12,No,CAM,62,0,4,4
13,Yes,CAM,NA,0,0,0
14,No,CAM,83,6,0,6
15,Yes,CAM,NA,0,0,0
