SITE,TREATMENT,Species,B1,B0
1,0,Prunus_serotina,0,0
2,1,Prunus_serotina,0,0
3,0,Prunus_serotina,0,0
4,1,Prunus_serotina,0,0
5,1,Prunus_serotina,0,0
6,0,Prunus_serotina,0,0
7,0,Prunus_serotina,0,0
8,1,Prunus_serotina,0,0
9,0,Prunus_serotina,3,8
10,1,Prunus_serotina,0,0
11,1,Prunus_serotina,11,14
12,0,Prunus_serotina,0,0
13,1,Prunus_serotina,0,0
14,0,Prunus_serotina,0,0
15,1,Prunus_serotina,0,0
1,0,Betula_pubescens,0,0
2,1,Betula_pubescens,0,0
3,0,Betula_pubescens,0,0
4,1,Betula_pubescens,6,0
5,1,Betula_pubescens,0,3
6,0,Betula_pubescens,0,0
7,0,Betula_pubescens,0,0
8,1,Betula_pubescens,0,0
9,0,Betula_pubescens,0,0
10,1,Betula_pubescens,0,0
11,1,Betula_pubescens,0,0
12,0,Betula_pubescens,0,4
13,1,Betula_pubescens,0,0
14,0,Betula_pubescens,6,0
15,1,Betula_pubescens,0,0
1,0,Betula_pendula,0,0
2,1,Betula_pendula,0,0
3,0,Betula_pendula,0,0
4,1,Betula_pendula,0,0
5,1,Betula_pendula,0,3
6,0,Betula_pendula,0,0
7,0,Betula_pendula,0,0
8,1,Betula_pendula,0,0
9,0,Betula_pendula,12,30
10,1,Betula_pendula,0,0
11,1,Betula_pendula,0,0
12,0,Betula_pendula,6,12
13,1,Betula_pendula,1,0
14,0,Betula_pendula,0,0
15,1,Betula_pendula,0,0
1,0,Amelanchier_lamarckii,0,6
2,1,Amelanchier_lamarckii,0,0
3,0,Amelanchier_lamarckii,0,0
4,1,Amelanchier_lamarckii,0,3
5,1,Amelanchier_lamarckii,3,33
6,0,Amelanchier_lamarckii,0,0
7,0,Amelanchier_lamarckii,0,0
8,1,Amelanchier_lamarckii,0,0
9,0,Amelanchier_lamarckii,0,0
10,1,Amelanchier_lamarckii,0,11
11,1,Amelanchier_lamarckii,0,3
12,0,Amelanchier_lamarckii,0,6
13,1,Amelanchier_lamarckii,6,4
14,0,Amelanchier_lamarckii,0,0
15,1,Amelanchier_lamarckii,0,0
1,0,Quercus_robur,0,3
2,1,Quercus_robur,0,3
3,0,Quercus_robur,0,8
4,1,Quercus_robur,3,8
5,1,Quercus_robur,0,0
6,0,Quercus_robur,0,0
7,0,Quercus_robur,0,0
8,1,Quercus_robur,0,0
9,0,Quercus_robur,0,3
10,1,Quercus_robur,11,11
11,1,Quercus_robur,8,3
12,0,Quercus_robur,0,0
13,1,Quercus_robur,6,2
14,0,Quercus_robur,0,0
15,1,Quercus_robur,6,22
1,0,Rhamnus_frangula,0,0
2,1,Rhamnus_frangula,0,0
3,0,Rhamnus_frangula,0,0
4,1,Rhamnus_frangula,0,0
5,1,Rhamnus_frangula,0,0
6,0,Rhamnus_frangula,0,0
7,0,Rhamnus_frangula,0,0
8,1,Rhamnus_frangula,0,0
9,0,Rhamnus_frangula,0,0
10,1,Rhamnus_frangula,0,0
11,1,Rhamnus_frangula,58,23
12,0,Rhamnus_frangula,3,8
13,1,Rhamnus_frangula,0,0
14,0,Rhamnus_frangula,8,3
15,1,Rhamnus_frangula,0,0
1,0,Sorbus_aucuparia,8,11
2,1,Sorbus_aucuparia,0,0
3,0,Sorbus_aucuparia,0,7
4,1,Sorbus_aucuparia,56,2
5,1,Sorbus_aucuparia,0,3
6,0,Sorbus_aucuparia,3,0
7,0,Sorbus_aucuparia,0,0
8,1,Sorbus_aucuparia,0,0
9,0,Sorbus_aucuparia,3,3
10,1,Sorbus_aucuparia,6,5
11,1,Sorbus_aucuparia,42,36
12,0,Sorbus_aucuparia,6,0
13,1,Sorbus_aucuparia,0,0
14,0,Sorbus_aucuparia,97,70
15,1,Sorbus_aucuparia,0,0
1,0,Fagus_sylvatica,0,0
2,1,Fagus_sylvatica,0,0
3,0,Fagus_sylvatica,0,0
4,1,Fagus_sylvatica,0,0
5,1,Fagus_sylvatica,1,1
6,0,Fagus_sylvatica,0,0
7,0,Fagus_sylvatica,0,0
8,1,Fagus_sylvatica,0,0
9,0,Fagus_sylvatica,0,0
10,1,Fagus_sylvatica,0,0
11,1,Fagus_sylvatica,0,0
12,0,Fagus_sylvatica,0,0
13,1,Fagus_sylvatica,0,0
14,0,Fagus_sylvatica,0,0
15,1,Fagus_sylvatica,0,3
